000116446030000000000000000000100117                                                              
000216446800000000000000000011800167                                                              
000416446850000000000000000016800325                                                              
000616446910000000000000000032600386                                                              
000716446930000000000000000038700394                                                              
000816446950000000000000000039500403                                                              
000916446950000000000000000040400412                                                              
001016446960000010000010010041300497                                                              
001116446960000010010029990049800584                                                              
001216446960000050000019990058500694                                                              
001316446960000060000019990069500868                                                              
001416446960000980000010010086900974                                                              
001516446960000980020010010097501076                                                              
001616446960000989500029990107701176                                                              
001716446960000990000019990117701193                                                              
001816446970000000000000000119401201                                                              
001916446970000000000000000120201215                                                              
002016446990000000000000000121601276                                                              
002117407000000000000000000127701400                                                              
002217407800000000000000000140101523                                                              
002217407810000000000000000140101523                                                              
002217407820000000000000000140101523                                                              
002217407830000000000000000140101523                                                              
002312402050000000000000000152401804                                                              
002312402820000000000000000152401804                                                              
002414424510000000000000000180502090                                                              
002414424540000000000000000180502090                                                              
002516446400000000000000000209102152                                                              
002612402000000000000000000215302410                                                              
002714424500000000000000000241102696                                                              
002714424530000000000000000241102696                                                              
002816446960000100000010010269702723                                                              
002916446960000070000019990272402835                                                              
003016446960000080000019990283602981                                                              
003116446960000090000010010298203049                                                              
003216446960000090010029990305003138                                                              
003316446960000110000010010313903294                                                              
003416446960000110010029990329503403                                                              
01001010100000090040000100004                                     0000000                         
010020102000200X0190002100039                                  1  0000000                         
01003010200030190020004000041                                  1  0000603                         
01004010200030290020004200043                                  1  0000000                         
01005010200030390020004400045                                  1  0000000                         
01006010200120190060004600051                                  1  0001202                         
01007010200120290060005200057                                  1  0000000                         
01008010200140090040005800061                                     0000000                         
01009010200230090030006200064                                     0000000                         
01010010200240090030006500067                                  1  0000000                         
01011010200250090040006800071                                  1  0000000                         
01012010200260090040007200075                                     0000000                         
01013010200300190120007600087                                  1  0002402                         
01014010200300290120008800099                                  1  0000000                         
01015010200310190010010000100                                  1  0002305                         
01016010200310290060010100106                                  1  0000000                         
01017010200310390040010700110                                  1  0000000                         
01018010200310490110011100121                                  1  0000000                         
01019010200310590010012200122                                  1  0000000                         
01020010200320090110012300133                                     0000000                         
01021010200330090110013400144                                  1  0000000                         
010220102003700X0120014500156                                     0000000                         
010230102003800X0060015700162                                     0000000                         
010240102004100X0080016300170                                     0000000                         
010250102004200X0150017100185                                     0000000                         
010260102004301X0800018600265                                  1  0025606                         
010270102004302X0800026600345                                  1  0000000                         
010280102004303X0800034600425                                  1  0000000                         
010290102004304X0100042600435                                  1  0000000                         
010300102004305X0030043600438                                  1  0000000                         
010310102004306X0030043900441                                  1  0000000                         
010320103002501X0010044200442                                  11 0000702                         
01033010300250290060044300448                                  11 0000000                         
01034010301480190030044900451                                  11 0106002                         
010350103014802X0010045200452                                  11 0100000                         
01036010301480190030045300455                                     0200000                         
010370103014802X0010045600456                                     0200000                         
01038010301480190030045700459                                     0300000                         
010390103014802X0010046000460                                     0300000                         
01040010301480190030046100463                                     0400000                         
010410103014802X0010046400464                                     0400000                         
01042010301480190030046500467                                     0500000                         
010430103014802X0010046800468                                     0500000                         
01044010301480190030046900471                                     0600000                         
010450103014802X0010047200472                                     0600000                         
01046010301480190030047300475                                     0700000                         
010470103014802X0010047600476                                     0700000                         
01048010301480190030047700479                                     0800000                         
010490103014802X0010048000480                                     0800000                         
01050010301480190030048100483                                     0900000                         
010510103014802X0010048400484                                     0900000                         
01052010301480190030048500487                                     1000000                         
010530103014802X0010048800488                                     1000000                         
01054010301480190030048900491                                     1100000                         
010550103014802X0010049200492                                     1100000                         
01056010301480190030049300495                                     1200000                         
010570103014802X0010049600496                                     1200000                         
01058010301480190030049700499                                     1300000                         
010590103014802X0010050000500                                     1300000                         
01060010301480190030050100503                                     1400000                         
010610103014802X0010050400504                                     1400000                         
01062010301480190030050500507                                     1500000                         
010630103014802X0010050800508                                     1500000                         
01064010301490190030050900511                                  11 0000602                         
01065010301490290030051200514                                  11 0000000                         
010660103015801X0030051500517                                     0002915                         
010670103015802X0010051800518                                     0000000                         
010680103015803X0060051900524                                     0000000                         
010690103015804X0020052500526                                     0000000                         
01070010301580590060052700532                                     0000000                         
01071010301580690020053300534                                     0000000                         
010720103015807X0010053500535                                     0000000                         
010730103015808X0030053600538                                     0000000                         
010740103015809X0010053900539                                     0000000                         
010750103015810X0010054000540                                     0000000                         
010760103015811X0010054100541                                     0000000                         
010770103015812X0010054200542                                     0000000                         
010780103015813X0010054300543                                     0000000                         
010790103016501X0010054400544                                  1  0003002                         
010800103016502X0290054500573                                     0000000                         
010810103017001X0160057400589                                     0005703                         
010820103017002X0160059000605                                     0000000                         
010830103017003X0250060600630                                     0000000                         
010840103017101X0030063100633                                   1 0020102                         
010850103017102X1980063400831                                   1 0000000                         
010860103017200X0300083200861                                     0000000                         
010870103017300X0300086200891                                     0000000                         
01088010301740090150089200906                                     0000000                         
010890103017500X2550090701161                                     0000000                         
010900103018901X0010116201162                                  11 0004102                         
010910103018902X0400116301202                                  11 0000000                         
010920103019000X0060120301208                                     0000000                         
01093010301910090010120901209                                     0000000                         
01094010302280090010121001210                                  1  0000000                         
010950103024100X0070121101217                                     0000000                         
010960102006301X0010121801218                                  11 0001602                         
010970102006302X0150121901233                                   1 0000000                         
01098010200710090080123401241                                  1  0000000                         
01099010200930090110124201252                                     0000000                         
01100010200940090110125301263                                  1  0000000                         
01101010200950090100126401273                                     0000000                         
01102010201000090110127401284                                     0000000                         
011030102012400X9990128502283                                     0000000                         
011040103000200X0030228402286                                     0000000                         
011050103000300X0030228702289                                     0000000                         
011060102002201X0010229002290                                  1  0001212                         
01107010200220290010229102291                                  1  0000000                         
01108010200220390010229202292                                  1  0000000                         
01109010200220490010229302293                                  1  0000000                         
011100102002205X0010229402294                                  1  0000000                         
01111010200220690010229502295                                  1  0000000                         
011120102002207X0010229602296                                  1  0000000                         
011130102002208X0010229702297                                  1  0000000                         
01114010200220990010229802298                                  1  0000000                         
011150102002210X0010229902299                                  1  0000000                         
01116010200221190010230002300                                  1  0000000                         
011170102002212X0010230102301                                  1  0000000                         
01001020100000090040000100004                                     0000000                         
01002020200240090030002100023                                     0000000                         
01003020200250090040002400027                                     0000000                         
01004020301480190030002800030                                     0106002                         
010050203014802X0010003100031                                     0100000                         
01006020301480190030003200034                                     0200000                         
010070203014802X0010003500035                                     0200000                         
01008020301480190030003600038                                     0300000                         
010090203014802X0010003900039                                     0300000                         
01010020301480190030004000042                                     0400000                         
010110203014802X0010004300043                                     0400000                         
01012020301480190030004400046                                     0500000                         
010130203014802X0010004700047                                     0500000                         
01014020301480190030004800050                                     0600000                         
010150203014802X0010005100051                                     0600000                         
01016020301480190030005200054                                     0700000                         
010170203014802X0010005500055                                     0700000                         
01018020301480190030005600058                                     0800000                         
010190203014802X0010005900059                                     0800000                         
01020020301480190030006000062                                     0900000                         
010210203014802X0010006300063                                     0900000                         
01022020301480190030006400066                                     1000000                         
010230203014802X0010006700067                                     1000000                         
01024020301480190030006800070                                     1100000                         
010250203014802X0010007100071                                     1100000                         
01026020301480190030007200074                                     1200000                         
010270203014802X0010007500075                                     1200000                         
01028020301480190030007600078                                     1300000                         
010290203014802X0010007900079                                     1300000                         
01030020301480190030008000082                                     1400000                         
010310203014802X0010008300083                                     1400000                         
01032020301480190030008400086                                     1500000                         
010330203014802X0010008700087                                     1500000                         
01034020303000190030008800090                                  11 0002504                         
01035020303000290060009100096                                  11 0000000                         
01036020303000390110009700107                                  11 0000000                         
01037020303000490050010800112                                  11 0000000                         
010380203038001X0010011300113                                  11 0001702                         
01039020303800290160011400129                                  11 0000000                         
010400203038101X0010013000130                                  11 0001702                         
01041020303810290160013100146                                  11 0000000                         
010420203038401X0010014700147                                  11 0001702                         
01043020303840290160014800163                                  11 0000000                         
01044020304000090100016400173                                     0000000                         
01045020304010090100017400183                                     0000000                         
01046020304020090100018400193                                     0000000                         
01047020200490090030019400196                                     0000000                         
01048020200710090080019700204                                     0000000                         
01049020200930090110020500215                                     0000000                         
01050020201000090110021600226                                     0000000                         
01001040100000090040000100004                                     0000000                         
01002040200240090030002100023                                     0000000                         
01003040200250090040002400027                                     0000000                         
01004040200320090110002800038                                     0000000                         
01005040301480190030003900041                                     0106002                         
010060403014802X0010004200042                                     0100000                         
01007040301480190030004300045                                     0200000                         
010080403014802X0010004600046                                     0200000                         
01009040301480190030004700049                                     0300000                         
010100403014802X0010005000050                                     0300000                         
01011040301480190030005100053                                     0400000                         
010120403014802X0010005400054                                     0400000                         
01013040301480190030005500057                                     0500000                         
010140403014802X0010005800058                                     0500000                         
01015040301480190030005900061                                     0600000                         
010160403014802X0010006200062                                     0600000                         
01017040301480190030006300065                                     0700000                         
010180403014802X0010006600066                                     0700000                         
01019040301480190030006700069                                     0800000                         
010200403014802X0010007000070                                     0800000                         
01021040301480190030007100073                                     0900000                         
010220403014802X0010007400074                                     0900000                         
01023040301480190030007500077                                     1000000                         
010240403014802X0010007800078                                     1000000                         
01025040301480190030007900081                                     1100000                         
010260403014802X0010008200082                                     1100000                         
01027040301480190030008300085                                     1200000                         
010280403014802X0010008600086                                     1200000                         
01029040301480190030008700089                                     1300000                         
010300403014802X0010009000090                                     1300000                         
01031040301480190030009100093                                     1400000                         
010320403014802X0010009400094                                     1400000                         
01033040301480190030009500097                                     1500000                         
010340403014802X0010009800098                                     1500000                         
010350403016501X0010009900099                                     0003002                         
010360403016502X0290010000128                                     0000000                         
01037040303000190030012900131                                  11 0002504                         
01038040303000290060013200137                                  11 0000000                         
01039040303000390110013800148                                  11 0000000                         
01040040303000490050014900153                                  11 0000000                         
010410403030200X0010015400154                                     0000000                         
010420403035801X0030015500157                                  11 0002915                         
01043040303580290010015800158                                  11 0000000                         
010440403035803X0060015900164                                  11 0000000                         
010450403035804X0020016500166                                  11 0000000                         
01046040303580590060016700172                                  11 0000000                         
01047040303580690020017300174                                  11 0000000                         
010480403035807X0010017500175                                     0000000                         
010490403035808X0030017600178                                     0000000                         
010500403035809X0010017900179                                     0000000                         
010510403035810X0010018000180                                     0000000                         
010520403035811X0010018100181                                     0000000                         
010530403035812X0010018200182                                     0000000                         
010540403035813X0010018300183                                     0000000                         
01055040303700190190018400202                                  11 0003802                         
01056040303700290190020300221                                  11 0000000                         
01057040303710090040022200225                                     0000000                         
01058040303720190040022600229                                  11 0000702                         
01059040303720290030023000232                                  11 0000000                         
01060040303740090020023300234                                     0000000                         
010610403037800X0010023500235                                     0000000                         
010620403038001X0010023600236                                  11 0001702                         
01063040303800290160023700252                                  11 0000000                         
010640403038101X0010025300253                                  11 0001702                         
01065040303810290160025400269                                  11 0000000                         
010660403038401X0010027000270                                  11 0001702                         
01067040303840290160027100286                                  11 0000000                         
010680403039001X0010028700287                                  11 0001702                         
01069040303900290160028800303                                  11 0000000                         
010700403039101X0010030400304                                  11 0001702                         
01071040303910290160030500320                                  11 0000000                         
01072040303920190020032100322                                     0118003                         
010730403039202X0010032300323                                     0100000                         
01074040303920390150032400338                                     0100000                         
01075040303920190020033900340                                     0200000                         
010760403039202X0010034100341                                     0200000                         
01077040303920390150034200356                                     0200000                         
01078040303920190020035700358                                     0300000                         
010790403039202X0010035900359                                     0300000                         
01080040303920390150036000374                                     0300000                         
01081040303920190020037500376                                     0400000                         
010820403039202X0010037700377                                     0400000                         
01083040303920390150037800392                                     0400000                         
01084040303920190020039300394                                     0500000                         
010850403039202X0010039500395                                     0500000                         
01086040303920390150039600410                                     0500000                         
01087040303920190020041100412                                     0600000                         
010880403039202X0010041300413                                     0600000                         
01089040303920390150041400428                                     0600000                         
01090040303920190020042900430                                     0700000                         
010910403039202X0010043100431                                     0700000                         
01092040303920390150043200446                                     0700000                         
01093040303920190020044700448                                     0800000                         
010940403039202X0010044900449                                     0800000                         
01095040303920390150045000464                                     0800000                         
01096040303920190020046500466                                     0900000                         
010970403039202X0010046700467                                     0900000                         
01098040303920390150046800482                                     0900000                         
01099040303920190020048300484                                     1000000                         
011000403039202X0010048500485                                     1000000                         
01101040303920390150048600500                                     1000000                         
01102040303920190020050100502                                     1100000                         
011030403039202X0010050300503                                     1100000                         
01104040303920390150050400518                                     1100000                         
01105040303920190020051900520                                     1200000                         
011060403039202X0010052100521                                     1200000                         
01107040303920390150052200536                                     1200000                         
